Sample_Type,Site,Site_Type,Se
Turtle,Beck,Control,0.178
Turtle,Pettigrew,Control,0.167
Turtle,Pettigrew,Control,0.129
Turtle,Pettigrew,Control,0.121
Turtle,Acheson,Tile,0.505
Turtle,Acheson,Tile,0.37
Turtle,Petri,Tile,0.549
Turtle,Petri,Tile,0.343
Turtle,Petri,Tile,0.511
Turtle,Petri,Tile,0.537
Turtle,Petri,Tile,0.823
Turtle,Lost_Lake,Control,0.452
Turtle,Lost_Lake,Control,1.78
Turtle,Lost_Lake,Control,0.396
Turtle,Lost_Lake,Control,1.38
Turtle,Beck,Control,0.33
Turtle,Habeger,Tile,2.05
Turtle,Pettigrew,Control,0.112
Turtle,Pettigrew,Control,0.624
Turtle,Acheson,Tile,1.24
Turtle,Acheson,Tile,2.51
Turtle,Acheson,Tile,2.61
Turtle,Acheson,Tile,8.53
Turtle,Volker,Tile,64
Turtle,Buffalo_Lake,Control,0.991
Turtle,Volker,Tile,1.24
Turtle,Volker,Tile,1.04
Turtle,Volker,Tile,16.8
Turtle,Volker,Tile,2.28
Turtle,Volker,Tile,15.1
Turtle,Volker,Tile,2.64
Turtle,Volker,Tile,1.18
Turtle,Lost_Lake,Control,1.16
Water,Petri,Tile,0.284
Water,Petri,Tile,0.339
Water,Acheson,Tile,0.415
Water,Acheson,Tile,0.142
Water,Volker,Tile,0.972
Water,Volker,Tile,0.645
Water,Habeger,Tile,1.19
Water,Habeger,Tile,1.63
Water,Lost_Lake,Control,0.12
Water,Lost_Lake,Control,0.24
Water,Buffalo_Lake,Control,0.131
Water,Buffalo_Lake,Control,0.153
Water,Beck,Control,0.109
Water,Beck,Control,0.055
Water,Pettigrew,Control,0.055
Water,Pettigrew,Control,0.087
